baseline,task,seed,status,source_image,source_prompt,target_prompt,result_image,metadata,command,matched_conditions,failure_reason,notes
fireflow,fe_046_cat_crown_1_black_top_hat,10,,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/unique_inputs/fe_046_cat_crown_1_black_top_hat.png,"A gray cat sitting on a black cloth, wearing a crown. The crown is placed on the cat''s head.","A gray cat sitting on a black cloth, wearing a top hat. The top hat is placed on the cat''s head.",,,,,,pareto_sweep_20260701
fireflow,fe_094_dog_6_red_top_hat,10,,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/unique_inputs/fe_094_dog_6_red_top_hat.png,A small black and brown dog sitting on a lush green field.,A small black and brown dog sitting on a lush green field. The dog is wearing a red top hat.,,,,,,pareto_sweep_20260701
fireflow,fe_095_dog_7_jeweled_crown,10,,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/unique_inputs/fe_095_dog_7_jeweled_crown.png,A small black and brown dog sitting on a lush green field.,A small black and brown dog sitting on a lush green field. The dog is wearing a jeweled crown.,,,,,,pareto_sweep_20260701
fireflow,fe_142_iguana_2_blue_lizard_top_hat,10,,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/unique_inputs/fe_142_iguana_2_blue_lizard_top_hat.png,"A large orange lizard sitting on a rock near the ocean. The lizard is positioned in the center of the scene, with the ocean waves visible in the background. The rock is located close to the water, providing a picturesque setting for the lizard''s resting spot.","A large blue lizard sitting on a rock near the ocean. The blue lizard is wearing a top hat. The blue lizard is positioned in the center of the scene, with the ocean waves visible in the background. The rock is located close to the water, providing a picturesque setting for the blue lizard''s resting spot.",,,,,,pareto_sweep_20260701
fireflow,fe_192_parrots_1_top_hat,10,,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/unique_inputs/fe_192_parrots_1_top_hat.png,"Two colorful parrots sitting on a wooden stump or log. They are positioned close to each other, with one parrot on the left side and the other on the right side of the stump. The parrot''s wings have blue feathers and their body is yellow.","Two colorful parrots sitting on a wooden stump or log. They are positioned close to each other, with one parrot on the left side and the other on the right side of the stump. The parrot''s wings have blue feathers and their body is yellow. Both parrots have a top hat on their head.",,,,,,pareto_sweep_20260701
fireflow,fe_195_parrots2_1_crown,10,,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/unique_inputs/fe_195_parrots2_1_crown.png,"Two colorful parrots perched on a rocky surface. The parrots are positioned close to each other, with one parrot on the left side and the other on the right side of the rock. The parrot colors are predominantly red.","Two colorful parrots perched on a rocky surface. Both parrots have a crown on their head. The birds are positioned close to each other, with one parrot on the left side and the other on the right side of the rock. The parrot colors are predominantly red.",,,,,,pareto_sweep_20260701
fireflow,fe_010_beer_glass_1_cocktail,10,,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/unique_inputs/fe_010_beer_glass_1_cocktail.png,A wine glass filled with beer.,"A wine glass filled with a vibrant red cocktail, garnished with an orange wedge.",,,,,,pareto_sweep_20260701
fireflow,fe_031_cake_1_berries,10,,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/unique_inputs/fe_031_cake_1_berries.png,"A three-layer cake with white frosting, placed on a wooden table. The cake is adorned with a variety of fruits. The cake is presented on a white plate.","A three-layer cake with white frosting, placed on a wooden table. The cake is adorned with a variety of berries. The cake is presented on a white plate.",,,,,,pareto_sweep_20260701
fireflow,fe_033_cake_3_wedding_cake,10,,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/unique_inputs/fe_033_cake_3_wedding_cake.png,"A three-layer cake with white frosting, placed on a wooden table. The cake is adorned with a variety of fruits. The cake is presented on a white plate.","A three-layer wedding cake with white frosting, placed on a wooden table. The cake is presented on a white plate.",,,,,,pareto_sweep_20260701
fireflow,fe_034_cake_4_strawberries,10,,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_135/unique_inputs/fe_034_cake_4_strawberries.png,"A three-layer cake with white frosting, placed on a wooden table. The cake is adorned with a variety of fruits. The cake is presented on a white plate.","A three-layer wedding cake with white frosting, placed on a wooden table. The cake is adorned with a lot of strawberries. The cake is presented on a white plate.",,,,,,pareto_sweep_20260701
