"family","family_index","task_id","label","source_page","direct_download","author","source","license_note","source_prompt","target_prompt","selection_note"
"T1_attached_accessory","4","web_woman_black_sunglasses","Woman black sunglasses","https://www.pexels.com/photo/woman-smiling-774909/","https://images.pexels.com/photos/774909/pexels-photo-774909.jpeg?auto=compress&cs=tinysrgb&w=1400","Andrea Piacquadio","Pexels","Pexels free-to-use photo; source page retained for provenance.","A close-up portrait of a smiling woman indoors, with no glasses or accessory on her face.","A close-up portrait of the same smiling woman indoors, wearing black sunglasses aligned across both eyes, while preserving her hair, smile, shirt pattern, wall, lighting, and pose.","Frontal face and clear eye region for an accessory edit; patterned shirt and wall provide preservation evidence."
"T1_attached_accessory","5","web_cat_collar_bell","Cat collar with bell","https://www.pexels.com/photo/a-cat-sitting-on-the-ground-looking-up-19607030/","https://images.pexels.com/photos/19607030/pexels-photo-19607030.jpeg?auto=compress&cs=tinysrgb&w=1400","Pexels contributor","Pexels","Pexels free-to-use photo; source page retained for provenance.","A close-up portrait of a cat outdoors, with no collar or bell on its neck.","A close-up portrait of the same cat outdoors, wearing a bright red leather collar with a small shiny gold bell hanging at the front of its neck, while preserving the cat fur, ears, eyes, whiskers, body, garden background, brick wall, and lighting.","Visible cat neck/chest region for a collar-and-bell accessory edit; brick wall and garden background provide preservation evidence."
"T2_container_insertion","4","web_plate_red_apple","Plate red apple","https://www.pexels.com/photo/flatlay-photography-of-white-ceramic-bowl-2611817/","https://images.pexels.com/photos/2611817/pexels-photo-2611817.jpeg?auto=compress&cs=tinysrgb&w=1400","Anna Tukhfatullina Food Photographer/Stylist","Pexels","Pexels free-to-use photo; source page retained for provenance.","A top-down photo of an empty white ceramic plate on a table setting, with no fruit on the plate.","A top-down photo of the same white ceramic plate in the same table setting, with one small red apple centered on the plate, while preserving the plate, utensils, table, and background.","Clean empty plate/container region; simple object insertion with obvious edit mask."
"T2_container_insertion","5","web_wicker_basket_apples","Wicker basket apples","https://www.pexels.com/photo/square-brown-wicker-basket-on-table-2113125/","https://images.pexels.com/photos/2113125/pexels-photo-2113125.jpeg?auto=compress&cs=tinysrgb&w=1400","Vinicius Estevao","Pexels","Pexels free-to-use photo; source page retained for provenance.","A close-up photo of an empty brown wicker basket on a table, with no fruit inside the basket.","A close-up photo of the same brown wicker basket on the same table, with several small red apples placed inside the basket, while preserving the basket weave, handles, table, and background.","Clear container boundary and visible empty interior."
"T3_surface_decal","4","web_mug_red_heart_decal","Mug red heart decal","https://www.pexels.com/photo/white-ceramic-mug-on-brown-wooden-surface-1566308/","https://images.pexels.com/photos/1566308/pexels-photo-1566308.jpeg?auto=compress&cs=tinysrgb&w=1400","Pexels contributor","Pexels","Pexels free-to-use photo; source page retained for provenance.","A close-up photo of a plain white ceramic mug on a wooden table, with no graphic on the mug.","A close-up photo of the same white ceramic mug on the same wooden table, with a small hard-edged red heart decal printed on the front of the mug, while preserving the handle, coffee surface, wooden table, lighting, and background.","Clean blank mug surface with a clear decal target and strong table/background preservation cues."
"T3_surface_decal","5","web_notebook_heart_sticker","Notebook blue pencil heart sketch","https://www.pexels.com/photo/open-blank-notebook-5705957/","https://images.pexels.com/photos/5705957/pexels-photo-5705957.jpeg?auto=compress&cs=tinysrgb&w=1400","www.kaboompics.com","Pexels","Pexels free-to-use photo; source page retained for provenance.","A top-down photo of an open blank notebook on a soft yellow background, with no drawing on the page.","A top-down photo of the same open blank notebook on the same soft yellow background, with a small light-blue colored-pencil heart sketch drawn naturally on the right notebook page, while preserving the notebook edges, page lines, and background.","Clean blank page for a subtle pencil/colored-pencil surface drawing; avoids logo/text confounds."
"T4_local_recolor","4","web_red_suitcase_to_blue","Red suitcase recolor","https://www.pexels.com/photo/smartphone-suitcase-and-passport-20805605/","https://images.pexels.com/photos/20805605/pexels-photo-20805605.jpeg?auto=compress&cs=tinysrgb&w=1400","Jacob","Pexels","Pexels free-to-use photo; source page retained for provenance.","A close-up photo of a red suitcase on grass with a smartphone and passport placed on top.","A close-up photo of the same suitcase on the same grass with the same smartphone and passport placed on top, with only the suitcase shell color changed from red to deep blue, while preserving the phone, passport, grass, shadows, and suitcase structure.","Simple large-color object with real context; less toy-like than an isolated product chair."
"T4_local_recolor","5","web_orange_handbag_to_blue","Orange handbag recolor","https://www.pexels.com/photo/person-holding-an-orange-leather-handbag-8801089/","https://images.pexels.com/photos/8801089/pexels-photo-8801089.jpeg?auto=compress&cs=tinysrgb&w=1400","Godisable Jacob","Pexels","Pexels free-to-use photo; source page retained for provenance.","A studio photo of a person holding a small orange leather handbag against a plain gray background.","A studio photo of the same person holding the same leather handbag against the same plain gray background, with only the handbag color changed from orange to deep blue, while preserving the hand, sleeve, shadows, and background.","Simple single-object recolor with plain background and a clean handbag boundary."
"T5_same_color_material","4","web_gray_hoodie_quilted_panel","Gray hoodie quilted panel","https://www.pexels.com/photo/woman-in-gray-hoodie-6311392/","https://images.pexels.com/photos/6311392/pexels-photo-6311392.jpeg?auto=compress&cs=tinysrgb&w=1400","Pexels contributor","Pexels","Pexels free-to-use photo; source page retained for provenance.","A portrait photo of a woman wearing a plain smooth gray hoodie against a textured wall, with no pattern on the hoodie chest.","A portrait photo of the same woman wearing the same gray hoodie against the same textured wall, with a same-color gray quilted fabric panel added to the front chest area of the hoodie, while preserving her face, hair, hands, hood strings, pocket, wall, lighting, and pose.","Large smooth clothing region with face, hands, strings, pocket, and wall available as preservation evidence."
"T5_same_color_material","5","web_white_shirt_lace_panel","White shirt lace panel","https://www.pexels.com/photo/minimalist-white-shirt-on-hanger-close-up-28576630/","https://images.pexels.com/photos/28576630/pexels-photo-28576630.jpeg?auto=compress&cs=tinysrgb&w=1400","Jonathan Borba","Pexels","Pexels free-to-use photo; source page retained for provenance.","A close-up photo of a plain white shirt on a hanger held by a hand against a pale wall, with smooth shirt fabric.","A close-up photo of the same white shirt on the same hanger held by the same hand against the same pale wall, with a same-color white lace-texture panel added to the front shirt area, while preserving the hand, hanger, collar, buttons, wall, and shadows.","Non-pillow same-color material case with meaningful protected hand"
