rater_id,audit_item_id,audit_row_id,family,task,seed,candidate_label,source_image,candidate_image,target_prompt,edit_correct_1_5,relation_correct_1_5,source_preservation_1_5,locality_1_5,artifact_severity_1_5,overall_1_5,failure_type,notes,method,method_display
rater_01,item_001,rater_01_item_001_A,T1_attached_accessory,cat_crown,10,A,images/item_001_source.png,images/item_001_A.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown centered on top of its head between the ears.",5,5,5,4,2,5,none,Proxy precheck: best edit-preserve balance under Phase2 metrics.,support_v3_controller_rmsgap,DeCE-RF
rater_01,item_001,rater_01_item_001_B,T1_attached_accessory,cat_crown,10,B,images/item_001_source.png,images/item_001_B.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",1,1,4,4,3,3,under_edit,Proxy precheck: strong preservation but target edit is largely absent.,base_only,RF reconstruction / base reconstruction
rater_01,item_001,rater_01_item_001_C,T1_attached_accessory,cat_crown,10,C,images/item_001_source.png,images/item_001_C.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",1,1,1,1,5,1,under_edit,Proxy precheck: target pressure is visible but preservation/locality are weak.,direct_target,Direct target guidance
rater_01,item_001,rater_01_item_001_D,T1_attached_accessory,cat_crown,10,D,images/item_001_source.png,images/item_001_D.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",1,1,4,4,2,3,under_edit,Proxy precheck: good preservation with conservative or incomplete editing.,adaptive_full_generic_support,Generic support control
rater_01,item_002,rater_01_item_002_A,T1_attached_accessory,cat_crown,11,A,images/item_002_source.png,images/item_002_A.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",5,5,5,4,2,5,none,Proxy precheck: best edit-preserve balance under Phase2 metrics.,support_v3_controller_rmsgap,DeCE-RF
rater_01,item_002,rater_01_item_002_B,T1_attached_accessory,cat_crown,11,B,images/item_002_source.png,images/item_002_B.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",1,1,4,4,3,3,under_edit,Proxy precheck: strong preservation but target edit is largely absent.,base_only,RF reconstruction / base reconstruction
rater_01,item_002,rater_01_item_002_C,T1_attached_accessory,cat_crown,11,C,images/item_002_source.png,images/item_002_C.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",1,1,4,4,2,3,under_edit,Proxy precheck: good preservation with conservative or incomplete editing.,adaptive_full_generic_support,Generic support control
rater_01,item_002,rater_01_item_002_D,T1_attached_accessory,cat_crown,11,D,images/item_002_source.png,images/item_002_D.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",1,1,1,1,5,1,under_edit,Proxy precheck: target pressure is visible but preservation/locality are weak.,direct_target,Direct target guidance
rater_01,item_003,rater_01_item_003_A,T1_attached_accessory,cat_crown,12,A,images/item_003_source.png,images/item_003_A.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",1,1,1,1,5,1,under_edit,Proxy precheck: target pressure is visible but preservation/locality are weak.,direct_target,Direct target guidance
rater_01,item_003,rater_01_item_003_B,T1_attached_accessory,cat_crown,12,B,images/item_003_source.png,images/item_003_B.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",1,1,4,4,2,3,under_edit,Proxy precheck: good preservation with conservative or incomplete editing.,adaptive_full_generic_support,Generic support control
rater_01,item_003,rater_01_item_003_C,T1_attached_accessory,cat_crown,12,C,images/item_003_source.png,images/item_003_C.png,"A photo of the same cat sitting in the same grass, wearing a small golden crown on its head.",5,5,5,4,2,5,none,Proxy precheck: best edit-preserve balance under Phase2 metrics.,support_v3_controller_rmsgap,DeCE-RF
