baseline,task,seed,status,source_image,source_prompt,target_prompt,result_image,metadata,command,matched_conditions,failure_reason,notes
fireflow,fe_000_bear_1_black_bear,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_000_bear_1_black_bear.png,"A large brown bear walking through a stream of water. The stream appears to be shallow, as the bear is able to walk through it without any difficulty.","A large black bear walking through a stream of water. The stream appears to be shallow, as the black bear is able to walk through it without any difficulty.",outputs/baselines/fireflow/fe_000_bear_1_black_bear/seed_10/result.png,outputs/baselines/fireflow/fe_000_bear_1_black_bear/seed_10/metadata.json,outputs/baselines/fireflow/fe_000_bear_1_black_bear/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_003_bear_4_sculpture,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_003_bear_4_sculpture.png,"A large brown bear walking through a stream of water. The stream appears to be shallow, as the bear is able to walk through it without any difficulty.","A large sculpture of a brown bear walking through a stream of water. The stream appears to be shallow, as the sculpture of the bear is able to walk through it without any difficulty.",outputs/baselines/fireflow/fe_003_bear_4_sculpture/seed_10/result.png,outputs/baselines/fireflow/fe_003_bear_4_sculpture/seed_10/metadata.json,outputs/baselines/fireflow/fe_003_bear_4_sculpture/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_004_bear_grass_1_black_bear,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_004_bear_grass_1_black_bear.png,A large brown bear walking through a grassy field.,A large black bear walking through a grassy field.,outputs/baselines/fireflow/fe_004_bear_grass_1_black_bear/seed_10/result.png,outputs/baselines/fireflow/fe_004_bear_grass_1_black_bear/seed_10/metadata.json,outputs/baselines/fireflow/fe_004_bear_grass_1_black_bear/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_007_bear_grass_4_sculpture,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_007_bear_grass_4_sculpture.png,A large brown bear walking through a grassy field.,A large sculpture of a brown bear walking through a grassy field.,outputs/baselines/fireflow/fe_007_bear_grass_4_sculpture/seed_10/result.png,outputs/baselines/fireflow/fe_007_bear_grass_4_sculpture/seed_10/metadata.json,outputs/baselines/fireflow/fe_007_bear_grass_4_sculpture/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_010_beer_glass_1_cocktail,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_010_beer_glass_1_cocktail.png,A wine glass filled with beer.,"A wine glass filled with a vibrant red cocktail, garnished with an orange wedge.",outputs/baselines/fireflow/fe_010_beer_glass_1_cocktail/seed_10/result.png,outputs/baselines/fireflow/fe_010_beer_glass_1_cocktail/seed_10/metadata.json,outputs/baselines/fireflow/fe_010_beer_glass_1_cocktail/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_015_bikes_5_green_bicycle,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_015_bikes_5_green_bicycle.png,"A bicycle parked on the sidewalk in front of a red brick building. The bicycle is positioned close to the door of the building, making it easily accessible for the owner. The building has a red brick exterior, giving it a distinctive appearance.","A green bicycle parked on the sidewalk in front of a red brick building. The bicycle is positioned close to the door of the building, making it easily accessible for the owner. The building has a red brick exterior, giving it a distinctive appearance.",outputs/baselines/fireflow/fe_015_bikes_5_green_bicycle/seed_10/result.png,outputs/baselines/fireflow/fe_015_bikes_5_green_bicycle/seed_10/metadata.json,outputs/baselines/fireflow/fe_015_bikes_5_green_bicycle/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_016_bikes_6_yellow_bicycle,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_016_bikes_6_yellow_bicycle.png,"A bicycle parked on the sidewalk in front of a red brick building. The bicycle is positioned close to the door of the building, making it easily accessible for the owner. The building has a red brick exterior, giving it a distinctive appearance.","A yellow bicycle parked on the sidewalk in front of a red brick building. The bicycle is positioned close to the door of the building, making it easily accessible for the owner. The building has a red brick exterior, giving it a distinctive appearance.",outputs/baselines/fireflow/fe_016_bikes_6_yellow_bicycle/seed_10/result.png,outputs/baselines/fireflow/fe_016_bikes_6_yellow_bicycle/seed_10/metadata.json,outputs/baselines/fireflow/fe_016_bikes_6_yellow_bicycle/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_017_boat_silhouette_1_sailboat_white_sails_red_hull,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_017_boat_silhouette_1_sailboat_white_sails_red_hull.png,"A serene scene of a lake with a silhouette of a sailboat floating on the water. The silhouette of the boat is positioned in the middle of the lake, slightly to the left. The sun is setting in the background, casting a warm glow over the scene.","A serene scene of a lake with a sailboat floating on the water. The sailboat has white sails and red hull. The boat is positioned in the middle of the lake, slightly to the left. The sun is setting in the background, casting a warm glow over the scene.",outputs/baselines/fireflow/fe_017_boat_silhouette_1_sailboat_white_sails_red_hull/seed_10/result.png,outputs/baselines/fireflow/fe_017_boat_silhouette_1_sailboat_white_sails_red_hull/seed_10/metadata.json,outputs/baselines/fireflow/fe_017_boat_silhouette_1_sailboat_white_sails_red_hull/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_019_brown_owl_1_white_owl,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_019_brown_owl_1_white_owl.png,"A small, brown owl standing on a patch of grass.","A small, white owl standing on a patch of grass.",outputs/baselines/fireflow/fe_019_brown_owl_1_white_owl/seed_10/result.png,outputs/baselines/fireflow/fe_019_brown_owl_1_white_owl/seed_10/metadata.json,outputs/baselines/fireflow/fe_019_brown_owl_1_white_owl/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
fireflow,fe_020_brown_owl_2_glass_sculpture,10,complete,/cluster/users/grad/2025/25t8103/project/data/flowedit_compatible_118/unique_inputs/fe_020_brown_owl_2_glass_sculpture.png,"A small, brown owl standing on a patch of grass.",A small glass sculpture of a brown owl standing on a patch of grass.,outputs/baselines/fireflow/fe_020_brown_owl_2_glass_sculpture/seed_10/result.png,outputs/baselines/fireflow/fe_020_brown_owl_2_glass_sculpture/seed_10/metadata.json,outputs/baselines/fireflow/fe_020_brown_owl_2_glass_sculpture/seed_10/command.txt,"official FireFlow FLUX-dev runner; source image resized with max_image_size=512 and cropped to multiples of 16; source prompt, target prompt, and seed match; official fast-editing parameters num_steps=8, inject=1, guidance=2, start_layer_index=0, end_layer_index=37, sampling_strategy=fireflow, offload=True",,official FireFlow FLUX-dev runner
