method,key,family,target_prompt,result_path,status,failure_type,note,repair_action
sam_flow_flux_probe_v3,fe_120_gas_station_3_eccv,T3_surface_decal,"A gas station with a white and red sign that reads ""ECCV"" There are several cars parked in front of the gas station, including a white car and a van.",I:\t3c_py\project\outputs\fe135_t3_samflow_probe_v3\sam_flow_flux\fe_120_gas_station_3_eccv\seed_10\result.png,fail,missing_target,H100 FLUX v3 still reads CAFE on the gas-station sign; ECCV target not applied.,rerun_failed_only_with_text_surface_mask
sam_flow_flux_probe_v3,fe_121_gas_station_4_food,T3_surface_decal,"A gas station with a white and red sign that reads ""FOOD"" There are several cars parked in front of the gas station, including a white car and a van.",I:\t3c_py\project\outputs\fe135_t3_samflow_probe_v3\sam_flow_flux\fe_121_gas_station_4_food\seed_10\result.png,fail,missing_target,H100 FLUX v3 still reads CAFE on the gas-station sign; FOOD target not applied.,rerun_failed_only_with_text_surface_mask
sam_flow_flux_probe_v3,fe_131_groceries_1_bacon,T3_surface_decal,"A grocery list writing on a piece of brown paper with a black marker, which includes BACON, BREAD, EGGS, and MILK. The grocery list is attached to a wall or refrigerator with a magnet. The magnet is red and white, possibly in the shape of a phone booth in London.",I:\t3c_py\project\outputs\fe135_t3_samflow_probe_v3\sam_flow_flux\fe_131_groceries_1_bacon\seed_10\result.png,fail,missing_target,H100 FLUX v3 still reads BREAD; BACON target not applied.,rerun_failed_only_with_handwriting_mask
sam_flow_flux_probe_v3,fe_133_groceries_3_cvpr,T3_surface_decal,"A grocery list writing on a piece of brown paper with a black marker, which includes CVPR, EGGS, and MILK. The grocery list is attached to a wall or refrigerator with a magnet. The magnet is red and white, possibly in the shape of a phone booth in London.",I:\t3c_py\project\outputs\fe135_t3_samflow_probe_v3\sam_flow_flux\fe_133_groceries_3_cvpr\seed_10\result.png,fail,artifact,"CVPR is legible but leaves gray old-letter residue after the word, so it fails strict no-ghosting rule.",rerun_failed_only_with_tighter_handwriting_mask
sam_flow_flux_probe_v3,fe_134_groceries_4_eccv,T3_surface_decal,"A grocery list writing on a piece of brown paper with a black marker, which includes ECCV, EGGS, and MILK. The grocery list is attached to a wall or refrigerator with a magnet. The magnet is red and white, possibly in the shape of a phone booth in London.",I:\t3c_py\project\outputs\fe135_t3_samflow_probe_v3\sam_flow_flux\fe_134_groceries_4_eccv\seed_10\result.png,fail,artifact,Top grocery word reads like ECC?D with visible old-letter residue; not clean ECCV.,rerun_failed_only_with_tighter_handwriting_mask
sam_flow_flux_probe_v3,fe_135_groceries_5_iccv,T3_surface_decal,"A grocery list writing on a piece of brown paper with a black marker, which includes ICCV, EGGS, and MILK. The grocery list is attached to a wall or refrigerator with a magnet. The magnet is red and white, possibly in the shape of a phone booth in London.",I:\t3c_py\project\outputs\fe135_t3_samflow_probe_v3\sam_flow_flux\fe_135_groceries_5_iccv\seed_10\result.png,fail,missing_target,Top grocery word reads like LCCV rather than ICCV.,rerun_failed_only_with_letter_prompt
sam_flow_flux_probe_v3,fe_167_luna_4_eccv,T3_surface_decal,"A neon sign for a restaurant called ECCV, which is located on a street corner. The sign is illuminated with red and orange colors.",I:\t3c_py\project\outputs\fe135_t3_samflow_probe_v3\sam_flow_flux\fe_167_luna_4_eccv\seed_10\result.png,fail,missing_target,Neon result reads CCV/ECV rather than ECCV; one letter is missing.,rerun_failed_only_with_repeated_letter_prompt
sam_flow_flux_probe_v3,fe_170_luna_7_heart,T3_surface_decal,"A neon sign for a restaurant with an heart on it, which is located on a street corner. The sign is illuminated with red and orange colors.",I:\t3c_py\project\outputs\fe135_t3_samflow_probe_v3\sam_flow_flux\fe_170_luna_7_heart\seed_10\result.png,pass,,Heart symbol is integrated as a neon sign with matching glow; no obvious background damage.,none
sam_flow_flux_probe_v3,fe_245_stop_sticker_2_eccv,T3_surface_decal,A ECCV! sticker with a red and yellow color scheme which is placed on a white background.,I:\t3c_py\project\outputs\fe135_t3_samflow_probe_v3\sam_flow_flux\fe_245_stop_sticker_2_eccv\seed_10\result.png,pass,,ECCV! sticker text is integrated into the comic sticker style and preserves the white background.,none
sam_flow_flux_probe_v3,fe_246_stop_sticker_3_iccv,T3_surface_decal,A ICCV! sticker with a red and yellow color scheme which is placed on a white background.,I:\t3c_py\project\outputs\fe135_t3_samflow_probe_v3\sam_flow_flux\fe_246_stop_sticker_3_iccv\seed_10\result.png,fail,artifact,"ICCV! is spelled correctly but has heavy yellow/black smearing and old-background residue, so it is not clean enough.",rerun_failed_only_with_sticker_mask
