audit_row_id,rater_id,field
rater_01_item_001_A,rater_01,edit_correct_1_5
rater_01_item_001_A,rater_01,relation_correct_1_5
rater_01_item_001_A,rater_01,source_preservation_1_5
rater_01_item_001_A,rater_01,locality_1_5
rater_01_item_001_A,rater_01,artifact_severity_1_5
rater_01_item_001_A,rater_01,overall_1_5
rater_01_item_001_B,rater_01,edit_correct_1_5
rater_01_item_001_B,rater_01,relation_correct_1_5
rater_01_item_001_B,rater_01,source_preservation_1_5
rater_01_item_001_B,rater_01,locality_1_5
rater_01_item_001_B,rater_01,artifact_severity_1_5
rater_01_item_001_B,rater_01,overall_1_5
rater_01_item_001_C,rater_01,edit_correct_1_5
rater_01_item_001_C,rater_01,relation_correct_1_5
rater_01_item_001_C,rater_01,source_preservation_1_5
rater_01_item_001_C,rater_01,locality_1_5
rater_01_item_001_C,rater_01,artifact_severity_1_5
rater_01_item_001_C,rater_01,overall_1_5
rater_01_item_001_D,rater_01,edit_correct_1_5
rater_01_item_001_D,rater_01,relation_correct_1_5
rater_01_item_001_D,rater_01,source_preservation_1_5
rater_01_item_001_D,rater_01,locality_1_5
rater_01_item_001_D,rater_01,artifact_severity_1_5
rater_01_item_001_D,rater_01,overall_1_5
rater_01_item_002_A,rater_01,edit_correct_1_5
rater_01_item_002_A,rater_01,relation_correct_1_5
rater_01_item_002_A,rater_01,source_preservation_1_5
rater_01_item_002_A,rater_01,locality_1_5
rater_01_item_002_A,rater_01,artifact_severity_1_5
rater_01_item_002_A,rater_01,overall_1_5
rater_01_item_002_B,rater_01,edit_correct_1_5
rater_01_item_002_B,rater_01,relation_correct_1_5
rater_01_item_002_B,rater_01,source_preservation_1_5
rater_01_item_002_B,rater_01,locality_1_5
rater_01_item_002_B,rater_01,artifact_severity_1_5
rater_01_item_002_B,rater_01,overall_1_5
rater_01_item_002_C,rater_01,edit_correct_1_5
rater_01_item_002_C,rater_01,relation_correct_1_5
rater_01_item_002_C,rater_01,source_preservation_1_5
rater_01_item_002_C,rater_01,locality_1_5
rater_01_item_002_C,rater_01,artifact_severity_1_5
rater_01_item_002_C,rater_01,overall_1_5
rater_01_item_002_D,rater_01,edit_correct_1_5
rater_01_item_002_D,rater_01,relation_correct_1_5
rater_01_item_002_D,rater_01,source_preservation_1_5
rater_01_item_002_D,rater_01,locality_1_5
rater_01_item_002_D,rater_01,artifact_severity_1_5
rater_01_item_002_D,rater_01,overall_1_5
rater_01_item_003_A,rater_01,edit_correct_1_5
rater_01_item_003_A,rater_01,relation_correct_1_5
rater_01_item_003_A,rater_01,source_preservation_1_5
rater_01_item_003_A,rater_01,locality_1_5
rater_01_item_003_A,rater_01,artifact_severity_1_5
rater_01_item_003_A,rater_01,overall_1_5
rater_01_item_003_B,rater_01,edit_correct_1_5
rater_01_item_003_B,rater_01,relation_correct_1_5
rater_01_item_003_B,rater_01,source_preservation_1_5
rater_01_item_003_B,rater_01,locality_1_5
rater_01_item_003_B,rater_01,artifact_severity_1_5
rater_01_item_003_B,rater_01,overall_1_5
rater_01_item_003_C,rater_01,edit_correct_1_5
rater_01_item_003_C,rater_01,relation_correct_1_5
rater_01_item_003_C,rater_01,source_preservation_1_5
rater_01_item_003_C,rater_01,locality_1_5
rater_01_item_003_C,rater_01,artifact_severity_1_5
rater_01_item_003_C,rater_01,overall_1_5
rater_01_item_003_D,rater_01,edit_correct_1_5
rater_01_item_003_D,rater_01,relation_correct_1_5
rater_01_item_003_D,rater_01,source_preservation_1_5
rater_01_item_003_D,rater_01,locality_1_5
rater_01_item_003_D,rater_01,artifact_severity_1_5
rater_01_item_003_D,rater_01,overall_1_5
rater_01_item_004_A,rater_01,edit_correct_1_5
rater_01_item_004_A,rater_01,relation_correct_1_5
rater_01_item_004_A,rater_01,source_preservation_1_5
rater_01_item_004_A,rater_01,locality_1_5
rater_01_item_004_A,rater_01,artifact_severity_1_5
rater_01_item_004_A,rater_01,overall_1_5
rater_01_item_004_B,rater_01,edit_correct_1_5
rater_01_item_004_B,rater_01,relation_correct_1_5
rater_01_item_004_B,rater_01,source_preservation_1_5
rater_01_item_004_B,rater_01,locality_1_5
rater_01_item_004_B,rater_01,artifact_severity_1_5
rater_01_item_004_B,rater_01,overall_1_5
rater_01_item_004_C,rater_01,edit_correct_1_5
rater_01_item_004_C,rater_01,relation_correct_1_5
rater_01_item_004_C,rater_01,source_preservation_1_5
rater_01_item_004_C,rater_01,locality_1_5
rater_01_item_004_C,rater_01,artifact_severity_1_5
rater_01_item_004_C,rater_01,overall_1_5
rater_01_item_004_D,rater_01,edit_correct_1_5
rater_01_item_004_D,rater_01,relation_correct_1_5
rater_01_item_004_D,rater_01,source_preservation_1_5
rater_01_item_004_D,rater_01,locality_1_5
rater_01_item_004_D,rater_01,artifact_severity_1_5
rater_01_item_004_D,rater_01,overall_1_5
rater_01_item_005_A,rater_01,edit_correct_1_5
rater_01_item_005_A,rater_01,relation_correct_1_5
rater_01_item_005_A,rater_01,source_preservation_1_5
rater_01_item_005_A,rater_01,locality_1_5
rater_01_item_005_A,rater_01,artifact_severity_1_5
rater_01_item_005_A,rater_01,overall_1_5
rater_01_item_005_B,rater_01,edit_correct_1_5
rater_01_item_005_B,rater_01,relation_correct_1_5
rater_01_item_005_B,rater_01,source_preservation_1_5
rater_01_item_005_B,rater_01,locality_1_5
rater_01_item_005_B,rater_01,artifact_severity_1_5
rater_01_item_005_B,rater_01,overall_1_5
rater_01_item_005_C,rater_01,edit_correct_1_5
rater_01_item_005_C,rater_01,relation_correct_1_5
rater_01_item_005_C,rater_01,source_preservation_1_5
rater_01_item_005_C,rater_01,locality_1_5
rater_01_item_005_C,rater_01,artifact_severity_1_5
rater_01_item_005_C,rater_01,overall_1_5
rater_01_item_005_D,rater_01,edit_correct_1_5
rater_01_item_005_D,rater_01,relation_correct_1_5
rater_01_item_005_D,rater_01,source_preservation_1_5
rater_01_item_005_D,rater_01,locality_1_5
rater_01_item_005_D,rater_01,artifact_severity_1_5
rater_01_item_005_D,rater_01,overall_1_5
rater_01_item_006_A,rater_01,edit_correct_1_5
rater_01_item_006_A,rater_01,relation_correct_1_5
rater_01_item_006_A,rater_01,source_preservation_1_5
rater_01_item_006_A,rater_01,locality_1_5
rater_01_item_006_A,rater_01,artifact_severity_1_5
rater_01_item_006_A,rater_01,overall_1_5
rater_01_item_006_B,rater_01,edit_correct_1_5
rater_01_item_006_B,rater_01,relation_correct_1_5
rater_01_item_006_B,rater_01,source_preservation_1_5
rater_01_item_006_B,rater_01,locality_1_5
rater_01_item_006_B,rater_01,artifact_severity_1_5
rater_01_item_006_B,rater_01,overall_1_5
rater_01_item_006_C,rater_01,edit_correct_1_5
