key,family_label,paper_role,ours_sd3_verdict,ours_flux_verdict,ours_sd3_score,ours_flux_score,issue_tags,primary_category,severity,rerun_priority,mask_action,prompt_action,param_action,expected_pass_condition,current_note
fe_000_bear_1_black_bear,T4_local_recolor,main_candidate,usable,usable,6,5,weak_edit,C7_low_contrast_or_small_recolor,medium,P2_batch_rerun,主体 mask 做小幅 dilation，避免边缘旧颜色；低对比场景可加 foreground-only color mask。,"颜色词加强：`clearly black`, `bright colorful`, `white sails and red hull`。",T4 recolor preset：提高 mask 内 color-change strength，保留 geometry；必要时加 HSV/Lab mask-only color correction 作为后处理。,颜色变化肉眼明确，不改变主体形状。,非编辑区保持强，局部颜色/外观命中，主体轮廓稳定，是较好的保持性案例。
fe_003_bear_4_sculpture,T5_same_color_material,checked_not_priority,usable,usable,6,6,"over_edit,subject_shape_changed",C11_animal_object_material_balance,medium,P2_batch_rerun,主体 mask 保留，边缘 feather 4-8 px；动物面部/姿态敏感区域提高 structure reuse。,"写成 `same animal/object, same pose, made of ... material`，减少新物体先验。",T5 animal/object preset：SD3 强结构保持，FLUX 只做语义增强；若 FLUX 改姿态，则用 SD3 或降低 FLUX strength。,材质明显，同时动物轮廓和姿态不漂。,材质语义可见，但同色材质类容易过度重绘主体，应放补充或失败分析。
fe_004_bear_grass_1_black_bear,T4_local_recolor,supplement_candidate,usable,usable,7,5,"better_than_baselines,weak_edit",C7_low_contrast_or_small_recolor,medium,P2_batch_rerun,主体 mask 做小幅 dilation，避免边缘旧颜色；低对比场景可加 foreground-only color mask。,"颜色词加强：`clearly black`, `bright colorful`, `white sails and red hull`。",T4 recolor preset：提高 mask 内 color-change strength，保留 geometry；必要时加 HSV/Lab mask-only color correction 作为后处理。,颜色变化肉眼明确，不改变主体形状。,非编辑区保持强，局部颜色/外观命中，主体轮廓稳定，是较好的保持性案例。
fe_007_bear_grass_4_sculpture,T5_same_color_material,checked_not_priority,usable,usable,6,6,"over_edit,subject_shape_changed",C11_animal_object_material_balance,medium,P2_batch_rerun,主体 mask 保留，边缘 feather 4-8 px；动物面部/姿态敏感区域提高 structure reuse。,"写成 `same animal/object, same pose, made of ... material`，减少新物体先验。",T5 animal/object preset：SD3 强结构保持，FLUX 只做语义增强；若 FLUX 改姿态，则用 SD3 或降低 FLUX strength。,材质明显，同时动物轮廓和姿态不漂。,材质语义可见，但同色材质类容易过度重绘主体，应放补充或失败分析。
fe_010_beer_glass_1_cocktail,T2_container_insertion,supplement_candidate,usable,usable,7,7,weak_edit,C3_insertion_mask_geometry,high,P1_fix_first,把整物体 mask 改成 insertion anchor mask：杯口/蛋糕顶/目标接触点上方的 top-cap 区域，避免覆盖整杯/整块蛋糕。,"加形状词：`distinct swirl`, `single cherry sitting on top`, `visible cocktail garnish`，避免只说 there is。",insertion preset：中高 edit strength，但后 30% 加强边界 feather/composite，避免重画容器。,新增物体明确，容器和背景不重绘。,背景保持较好，目标插入可见但强度一般，适合补充材料。
fe_017_boat_silhouette_1_sailboat_white_sails_red_hull,T4_local_recolor,checked_not_priority,usable,usable,6,6,"artifact,weak_edit",C7_low_contrast_or_small_recolor,medium,P2_batch_rerun,主体 mask 做小幅 dilation，避免边缘旧颜色；低对比场景可加 foreground-only color mask。,"颜色词加强：`clearly black`, `bright colorful`, `white sails and red hull`。",T4 recolor preset：提高 mask 内 color-change strength，保留 geometry；必要时加 HSV/Lab mask-only color correction 作为后处理。,颜色变化肉眼明确，不改变主体形状。,背景保持较好，但小主体或暗部场景下编辑强度需要人工确认。
fe_019_brown_owl_1_white_owl,T4_local_recolor,supplement_candidate,usable,good,7,8,weak_edit,C7_low_contrast_or_small_recolor,medium,P2_batch_rerun,主体 mask 做小幅 dilation，避免边缘旧颜色；低对比场景可加 foreground-only color mask。,"颜色词加强：`clearly black`, `bright colorful`, `white sails and red hull`。",T4 recolor preset：提高 mask 内 color-change strength，保留 geometry；必要时加 HSV/Lab mask-only color correction 作为后处理。,颜色变化肉眼明确，不改变主体形状。,非编辑区保持强，局部颜色/外观命中，主体轮廓稳定，是较好的保持性案例。
fe_020_brown_owl_2_glass_sculpture,T5_same_color_material,checked_not_priority,good,usable,8,7,better_than_baselines,C11_animal_object_material_balance,medium,P2_batch_rerun,主体 mask 保留，边缘 feather 4-8 px；动物面部/姿态敏感区域提高 structure reuse。,"写成 `same animal/object, same pose, made of ... material`，减少新物体先验。",T5 animal/object preset：SD3 强结构保持，FLUX 只做语义增强；若 FLUX 改姿态，则用 SD3 或降低 FLUX strength。,材质明显，同时动物轮廓和姿态不漂。,材质语义可见，但同色材质类容易过度重绘主体，应放补充或失败分析。
fe_024_bus_2_volkswagen_logo,T3_surface_decal,limitation,usable,usable,7,7,"better_than_baselines,text_pseudo,weak_edit",C6_short_text_needs_text_aware_refine,medium,P2_batch_rerun,小标牌/stop sign 用中心 text mask，不覆盖整个牌子；保留外框和箭头。,"目标词短且大写，如 `CVPR`, `ICCV`, `LOVE`, `HOME`；避免长句。",短文字可先扩散重跑；若拼字仍错，套用同一 text-render branch 的简化版。,短词大概率过；失败时 renderer 保底。,背景多半保持，但精确文字、长标牌和手写列表容易出现伪文字，建议归入 limitation。
fe_031_cake_1_berries,T2_container_insertion,main_candidate,good,usable,8,7,weak_edit,C4_insertion_strength_balance,medium,P2_batch_rerun,保留现有局部 mask，但对披萨/蛋糕 toppings 做 4-8 px dilation，给新增物体足够空间。,数量和位置写清：`several visible ... on top of the cake/pizza`。,优先 SD3；FLUX 使用稍高 edit strength 和更低 preservation，若 SD3 已 good 则 FLUX 不强求进主文。,topping 可见，同时整体食物形状保持。,背景/相机保持强，插入目标清楚，主体结构稳定，适合做主文或补充对比。
fe_033_cake_3_wedding_cake,T2_container_insertion,supplement_candidate,good,usable,8,7,weak_edit,C4_insertion_strength_balance,medium,P2_batch_rerun,保留现有局部 mask，但对披萨/蛋糕 toppings 做 4-8 px dilation，给新增物体足够空间。,数量和位置写清：`several visible ... on top of the cake/pizza`。,优先 SD3；FLUX 使用稍高 edit strength 和更低 preservation，若 SD3 已 good 则 FLUX 不强求进主文。,topping 可见，同时整体食物形状保持。,背景/相机保持强，插入目标清楚，主体结构稳定，适合做主文或补充对比。
fe_034_cake_4_strawberries,T2_container_insertion,main_candidate,good,usable,8,7,weak_edit,C4_insertion_strength_balance,medium,P2_batch_rerun,保留现有局部 mask，但对披萨/蛋糕 toppings 做 4-8 px dilation，给新增物体足够空间。,数量和位置写清：`several visible ... on top of the cake/pizza`。,优先 SD3；FLUX 使用稍高 edit strength 和更低 preservation，若 SD3 已 good 则 FLUX 不强求进主文。,topping 可见，同时整体食物形状保持。,背景/相机保持强，插入目标清楚，主体结构稳定，适合做主文或补充对比。
fe_037_castle_1_lego_castle,T5_same_color_material,avoid_or_failure,usable,usable,7,6,"better_than_baselines,subject_shape_changed,worse_than_baselines",C8_complex_structure_material_transfer,high,P1_fix_first,保持整主体 mask，但使用 edge/depth/control mask 锁结构；不要允许自由重建。,把 `made out of lego bricks` 改为 `same castle silhouette with lego-brick texture on the facade`。,structure-lock preset：强 edge/depth/latent preserve，降低 semantic strength；如果仍要 lego 几何，只能接受结构变化。,城堡轮廓/塔楼保持，表面出现 lego texture，而不是生成新城堡。,lego castle 语义强但几乎重构整座城堡，保持性不适合作主图。
