task,family,ours_local,best_local,best_local_method,ours_bg_lpips,best_bg_lpips,best_bg_method,sam_bg_l1_minus_ours,ours_bg_l1,target,score
fe_193_parrots_2_origami,T5_same_color_material,0.3102565109729767,0.3204990029335022,reflex,0.001268786727450788,0.06170929968357086,sam_flow_flux,0.04383428057190031,0.0014111805940046906,Two colorful origami parrots sitting on a wooden stump or log. They are position,3.9961695592850446
fe_038_cat_and_dog_1_lego,T5_same_color_material,0.2699783742427826,0.26985275745391846,fireflow,0.0014509459724649787,0.025417789816856384,sam_flow_flux,0.036953024682588875,0.00116315099876374,A dog and a cat made out of lego sitting together on a sidewalk. The lego dog is,3.9920816445723175
fe_081_corgi_2_wooden_sculpture,T5_same_color_material,0.2967882752418518,0.31956008076667786,sam_flow_sd3,0.002014754107221961,0.07277406752109528,sam_flow_flux,0.055800406727939844,0.0013230456970632076,A wooden sculpture of a brown and white dog made sitting on a dirt ground near a,3.97295564096421
fe_223_sign_2_eccv,T3_surface_decal,0.34704017639160156,0.3532140254974365,otrf_enh_sd3,6.196220056153834e-05,0.0006197100738063455,sam_flow_flux,0.03323595318943262,0.0027256226167082787,A large white billboard with a bold message written in black letters. The messag,3.965915107144974
fe_222_sign_1_cvpr,T3_surface_decal,0.35167089104652405,0.3569942116737366,fireflow,6.196220056153834e-05,0.0005924729630351067,sam_flow_flux,0.03145845700055361,0.0027256226167082787,A large white billboard with a bold message written in black letters. The messag,3.9431231105467304
fe_027_butterflies_1_yellow,T4_local_recolor,0.1380160003900528,0.1634027659893036,sam_flow_sd3,0.001254357979632914,0.03418786823749542,sam_flow_flux,0.05133613932412118,0.0013197624357417226,A vibrant orange flower with two yellow butterflies perched on it. The butterfli,3.92048550453037
fe_080_corgi_1_lego_bricks,T5_same_color_material,0.27135488390922546,0.30820152163505554,fireflow,0.002014754107221961,0.0890030786395073,sam_flow_flux,0.059231648687273264,0.0013230456970632076,A brown and white dog made out of lego bricks sitting on a dirt ground near a bo,3.830457997135818
fe_224_sign_3_iccv,T3_surface_decal,0.33837491273880005,0.3496226966381073,fireflow,6.196220056153834e-05,0.000628375681117177,sam_flow_flux,0.02896221447736025,0.0027256226167082787,A large white billboard with a bold message written in black letters. The messag,3.8043313110014423
fe_146_japanese_castle_1_lego_castle,T5_same_color_material,0.1553923785686493,0.2231503427028656,fireflow,0.0015594384167343378,0.023439446464180946,sam_flow_flux,0.07064138981513679,0.003902451368048787,"A large, white, Japanese castle made out of lego bricks with a distinctive pagod",3.756883954629302
fe_190_parrot_4_lego_parrot,T5_same_color_material,0.3309805691242218,0.31994274258613586,flowedit_sd3,0.0009035298717208207,0.013568691909313202,sam_flow_flux,0.03016991459298879,0.0010404650820419192,A colorful lego parrot perched on a tree branch. The lego parrot is predominantl,3.7474779066164046
fe_186_muffins_1_strawberries,T2_container_insertion,0.16995370388031006,0.20361100137233734,sam_flow_sd3,0.0009100220631808043,0.027140013873577118,sam_flow_flux,0.045761461020447314,0.0010751088848337531,"A plate of white muffins, decorated with a few strawberries.",3.7193675517104565
fe_033_cake_3_wedding_cake,T2_container_insertion,0.2318837195634842,0.23432870209217072,sam_flow_sd3,0.0005353832384571433,0.003838996635749936,sam_flow_flux,0.020344638323877007,0.0008179628639481962,"A three-layer wedding cake with white frosting, placed on a wooden table. The ca",3.716679704701528
fe_198_piece_of_cake_1_cherry_on_top,T2_container_insertion,0.27089276909828186,0.26305127143859863,flowedit_sd3,0.00016768972272984684,0.0009999091271311045,sam_flow_flux,0.019862572837155312,0.000730036583263427,"A delicious chocolate cake with chocolate frosting and a cherry on top, sitting ",3.662860019574873
fe_167_luna_4_eccv,T3_surface_decal,0.28307080268859863,0.2881147563457489,flowedit_sd3,0.0024482642766088247,0.015169487334787846,sam_flow_flux,0.02848165831528604,0.002475556218996644,"A neon sign for a restaurant called ECCV, which is located on a street corner. T",3.649147433787584
fe_164_luna_1_sol,T3_surface_decal,0.2866262197494507,0.2872505486011505,sam_flow_sd3,0.0024482642766088247,0.015246796421706676,sam_flow_flux,0.02473892434500158,0.002475556218996644,"A neon sign for a restaurant called Sol, which is located on a street corner. Th",3.6405871264636516
fe_175_meditation1_4_golden_statue,T5_same_color_material,0.24171370267868042,0.23988565802574158,fireflow,0.0006805483717471361,0.004467980936169624,sam_flow_flux,0.016647062497213483,0.0021971880923956633,A golden sculpture of man sitting on the ground and appears to be in a relaxed p,3.6374657429754733
fe_141_iguana_1_green_lizard,T4_local_recolor,0.23237301409244537,0.24421077966690063,reflex,0.001603335840627551,0.01004752703011036,sam_flow_flux,0.026920044561848044,0.0013260992709547281,A large green lizard sitting on a rock near the ocean. The green lizard is posit,3.6005008235573768
fe_150_jump_kick_4_marble_statue,T5_same_color_material,0.20757241547107697,0.22263887524604797,reflex,0.0009577912860549986,0.0190691240131855,sam_flow_flux,0.025979937752708793,0.0022348223719745874,A marble statue of a woman kicking in the air. It appears to be in the middle of,3.5978227298241108
fe_188_parrot_2_origami,T5_same_color_material,0.31219184398651123,0.3063300848007202,flowedit_sd3,0.0009035298717208207,0.012752139009535313,sam_flow_flux,0.018178605590946972,0.0010404650820419192,An origami of a colorful parrot perched on a tree branch. The origami of the par,3.585292736859992
fe_207_pizza_tomato_olive_1_pepperoni,T2_container_insertion,0.20740720629692078,0.2153932750225067,reflex,0.00036160642048344016,0.0008192023960873485,sam_flow_flux,0.016488422639667988,0.0030201254412531853,"A large pizza, topped with cheese, black olive, sliced tomatoes and a lot of pep",3.5738167798612266
fe_003_bear_4_sculpture,T5_same_color_material,0.26151004433631897,0.2752407193183899,reflex,0.0028305836021900177,0.02200222574174404,sam_flow_flux,0.033109092619270086,0.005175611469894648,A large sculpture of a brown bear walking through a stream of water. The stream ,3.573163367435336
fe_168_luna_5_welcome,T3_surface_decal,0.2176414430141449,0.21200121939182281,sam_flow_flux,0.0024482642766088247,0.013761540874838829,sam_flow_flux,0.02496888837777078,0.002475556218996644,"A neon sign for a restaurant with the word WELCOME, which is located on a street",3.569947985559702
fe_205_pizza_slice_1_pepperoni,T2_container_insertion,0.21343812346458435,0.22291676700115204,fireflow,0.0004459350311663002,0.008446060121059418,sam_flow_flux,0.017806759744416922,0.000789198384154588,"A pizza with thick crust, topped with graded cheese, basil and pepperoni.",3.569362038723193
fe_029_butterfly_2_red_flower,T4_local_recolor,0.1913929283618927,0.1880481243133545,sam_flow_flux,0.0014270571991801262,0.010479353368282318,sam_flow_flux,0.01810812798794359,0.0010569147998467088,A beautiful red flower with a white and black butterfly perched on top of it. Th,3.569284779112786
fe_206_pizza_slice_2_mushrooms,T2_container_insertion,0.23402190208435059,0.22346235811710358,flowedit_sd3,0.0004459350311663002,0.00710827112197876,sam_flow_flux,0.017845284834038466,0.000789198384154588,"A pizza with thick crust, topped with graded cheese, basil and mushrooms.",3.553919034055434
fe_031_cake_1_berries,T2_container_insertion,0.2908318042755127,0.29375553131103516,fireflow,0.0005353806773200631,0.00234420713968575,sam_flow_flux,0.012235908361617476,0.0008180061704479158,"A three-layer cake with white frosting, placed on a wooden table. The cake is ad",3.547324193967506
fe_173_meditation1_2_golden_buddha_statue,T5_same_color_material,0.18733400106430054,0.17909687757492065,flowedit_sd3,0.0006805483717471361,0.004934144206345081,sam_flow_flux,0.016547193052247167,0.0021971880923956633,A golden sculpture of buddha sitting on the ground and appears to be in a relaxe,3.5393321715295314
fe_271_yellow_bulldog_15_origami_wolf,T5_same_color_material,0.28727632761001587,0.2869434058666229,sam_flow_sd3,0.00031416589627042413,0.00280276732519269,sam_flow_flux,0.008651650685351342,0.0004975449410267174,"A small, yellow, origami wolf positioned in the center of the scene, and it appe",3.53662259792909
fe_135_groceries_5_iccv,T3_surface_decal,0.22241055965423584,0.22259342670440674,reflex,2.310617310286034e-05,0.00016432332631666213,sam_flow_flux,0.0068980653886683285,0.0006082320469431579,"A grocery list writing on a piece of brown paper with a black marker, which incl",3.532907684710517
fe_247_this_must_be_the_place_1_home,T3_surface_decal,0.2474195510149002,0.24891957640647888,sam_flow_sd3,0.00010478357580723241,0.0015296905767172575,sam_flow_flux,0.008120576938381419,0.00046128584654070437,"A large, colorful wall with a neon sign that reads ""home must be the place.""",3.529432800313225
fe_201_pizza_1_pineapple_ham,T2_container_insertion,0.2840309739112854,0.2954440712928772,fireflow,0.00044348640949465334,0.0030416185036301613,sam_flow_flux,0.017036305915098637,0.0008999163401313126,"A large, cheesy pizza, topped with pineapple and ham, sitting on a wooden pizza ",3.5251810166286304
fe_039_cat_and_dog_2_bronze,T5_same_color_material,0.2877451181411743,0.27585703134536743,reflex,0.0014509459724649787,0.012626200914382935,sam_flow_flux,0.021946275723166764,0.00116315099876374,A bronze sculpture of a dog and a cat sitting together on a sidewalk. The dog is,3.515509615279734
fe_000_bear_1_black_bear,T4_local_recolor,0.2261577844619751,0.24927745759487152,reflex,0.0028305836021900177,0.019232770428061485,sam_flow_flux,0.03719749813899398,0.005175611469894648,A large black bear walking through a stream of water. The stream appears to be s,3.5140965055674314
fe_166_luna_3_iccv,T3_surface_decal,0.2778034508228302,0.2909058630466461,reflex,0.0024482642766088247,0.015769820660352707,sam_flow_flux,0.027451902395114303,0.002475556218996644,"A neon sign for a restaurant called ICCV, which is located on a street corner. T",3.5076754368841647
